id,prov,city,dist,loc,priceWan,area,rent,updated
95,贵州,黔南州,都匀 万达广场,机床厂宿舍,8.8,48,200,2026-02
96,贵州,黔南州,龙里 兴隆路,碧桂园凤凰城,8,34,500,2026-03
97,贵州,黔西南州-兴义市,民航片区,丰都和谐家园,8.8,50,350,2026-04
98,贵州,黔东南州,凯里区,依云美镇,10,45,600,2026-03
99,四川,攀枝花市,东区城区,望达巷,4.9,49,200,2026-03
100,四川,自贡市,自流井 汇西,东碳厂宿舍,5,50,500,2026-03
101,四川,德阳市,旌阳区,阳光小筑,9.5,40,600,2026-04
102,四川,宜宾市,江安县 江安镇,南外街12号小区,9,86,400,2026-01
103,四川,广元市,旺苍城区,电厂小区,10,49,300,2026-03
104,云南,昭通市,北片区,汇智中心,12.8,38,700,2026-04
105,云南,红河州-弥勒市,弥勒 新世界,骊都国际,11,44,500,2026-03
106,云南,红河州-个旧市,个旧城区,白云新村,4.7,60,400,2026-03
107,云南,红河州-蒙自市,文澜镇,蒙城名州,10.8,53,750,2026-02
108,云南,楚雄州,禄丰市,一平浪镇新街,7,50,260,2026-03
109,云南,楚雄州,禄丰市,干海资,3,60,260,2026-01
110,云南,保山市,隆阳区,下水河 农贸市场小区,10.8,55,750,2026-02
111,云南,曲靖市,麒麟区,南城建材市场宿舍,8.4,37,200,2026-01
112,云南,曲靖市-宣威市,羊场镇,大松树村,2.8,50,200,2026-03
113,云南,昆明市-安宁市,太平新城,时代贸港,8.9,50,750,2026-03
114,云南,昆明市,海口镇,军工宿舍楼200号生活区,6,45,300,2026-03
115,云南,玉溪市,红塔区,汇海佳苑,7,42,600,2026-04
116,云南,西双版纳州,勐腊县,南腊小镇,7.6,40,500,2026-01
117,云南,普洱市,思茅区,城市花园,9.8,30,700,2026-03
118,甘肃,酒泉市,敦煌市,万盛源小区,10.3,50,200,2026-04
119,甘肃,酒泉市,玉门市,玉门市第一小学,10,40,200,2026-04
120,甘肃,张掖市,甘州区,东湖小区,8.8,50,600,2026-04
121,海南,儋州市,滨海新区,恒大海花岛,14.5,35,600,2026-04
122,海南,澄迈县,海口周边,藏龙福地,15,45,600,2026-04
123,北京,北京市,海淀区,冠城北园,1240,139,14000,2026-06
124,北京,北京市,昌平区,静之湖,759,201,5700,2026-06
125,上海,上海市,杨浦区,同济新村,395,58,5800,2026-06
126,广东,深圳市,福田区,福田村,119.6,40,1380,2026-06
127,广东,深圳市,福田区,赤尾村,101.5,35,4500,2026-06
128,北京,北京市,朝阳区,紫御华府,3430,352,50000,2026-06
